,ID,Title,Year,Runtime,Genres,AvgRating,VoteCount,Directors,Producers,Writers,Actors
1190,tt0380389,Goal! The Dream Begins,2005.0,118,"Drama,Romance,Sport",6.7,65052.0,"Danny Cannon,Michael Winterbottom",,"Ian La Frenais, Mike Jefferies, Adrian Butchart, Dick Clement","Kuno Becker, Alessandro Nivola, Anna Friel, Leonardo Guerra"
1191,tt0380395,Grindhouse,2003.0,106,Horror,4.4,77.0,Stephen Tramontana,,,"Billy Von Drezner, Jeremy Tate, Kristen Hilyard, Arielle Assor"
1192,tt0380510,The Lovely Bones,2009.0,135,"Drama,Fantasy,Thriller",6.6,175814.0,Peter Jackson,"Aimée Peyronnet, Carolynne Cunningham","Fran Walsh, Philippa Boyens, Alice Sebold","Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon"
1193,tt0380599,Oliver Twist,2005.0,130,"Crime,Drama",6.8,33751.0,Roman Polanski,"Robert Benmussa, Alain Sarde","Charles Dickens, Ronald Harwood","Barney Clark, Ben Kingsley, Jeremy Swift, Ian McNeice"
1194,tt0380623,The Perfect Man,2005.0,100,"Comedy,Family,Romance",5.4,31580.0,Mark Rosman,Susan Duff,"Michael McQuown, Heather Robinson, Katie Torpey, Gina Wendkos","Hilary Duff, Heather Locklear, Aria Wallace, Chris Noth"
1195,tt0380803,The Walk,2001.0,\N,\N,,,Carlotta Moye,,Jessica Brentnall,Alyssa Sutherland
1196,tt0380817,Winter Passing,2005.0,98,"Comedy,Drama",6.2,8727.0,Adam Rapp,"P. Jennifer Dana, David Koplan",,"Ed Harris, Zooey Deschanel, Will Ferrell, Darrell Larson"
1197,tt0381008,The American,2004.0,94,Comedy,2.9,309.0,Patrick Timsit,"Thomas Anargyros, Edouard de Vésinne",Jean-Carol Larrivé,"Lorànt Deutsch, Thierry Lhermitte, Émilie Dequenne, Doud"
1198,tt0381061,Casino Royale,2006.0,144,"Action,Adventure,Thriller",8.0,678029.0,Martin Campbell,Barbara Broccoli,"Neal Purvis, Robert Wade, Paul Haggis, Ian Fleming","Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright"
1199,tt0381147,Dope,2004.0,90,Drama,4.7,96.0,James Harkness,"Mark Patterson, Wayne Young",,"Miranda Bien-Lim, Alison Bramich, Maris J. Caune, Stephen Cummings"
1200,tt0381681,Before Sunset,2004.0,80,"Drama,Romance",8.1,278511.0,Richard Linklater,Anne Walker-McBay,Kim Krizan,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès"
1201,tt0381707,White Chicks,2004.0,109,"Comedy,Crime",5.7,156390.0,Keenen Ivory Wayans,"Lee R. Mayes, Rick Alvarez","Andrew McElfresh, Michael Anthony Snowden, Xavier Cook","Marlon Wayans, Shawn Wayans, Busy Philipps, Maitland Ward"
1202,tt0381717,Yes,2004.0,100,"Drama,Romance",6.4,3214.0,Sally Potter,"Andrew Fierberg, Christopher Sheppard",,"Joan Allen, Simon Abkarian, Sam Neill, Shirley Henderson"
